Timestamp,Voltage,Current,Frequency
2025-07-01 12:00:00,201,6.34,49.34
2025-07-01 12:01:00,217,6.21,50.42
2025-07-01 12:02:00,203,5.2,48.07
2025-07-01 12:03:00,247,2.51,50.23
2025-07-01 12:04:00,229,5.76,49.17
2025-07-01 12:05:00,222,5.97,48.23
2025-07-01 12:06:00,239,4.74,49.6
2025-07-01 12:07:00,241,4.15,48.65
2025-07-01 12:08:00,226,4.46,51.04
2025-07-01 12:09:00,211,3.84,51.16
2025-07-01 12:10:00,232,2.81,48.82
2025-07-01 12:11:00,248,3.94,50.88
2025-07-01 12:12:00,211,6.08,49.94
2025-07-01 12:13:00,223,5.31,49.35
2025-07-01 12:14:00,241,4.04,51.71
2025-07-01 12:15:00,210,5.68,49.01
2025-07-01 12:16:00,239,6.21,48.9
2025-07-01 12:17:00,249,3.56,48.23
2025-07-01 12:18:00,247,6.09,49.31
2025-07-01 12:19:00,249,6.19,49.26
2025-07-01 12:20:00,220,3.91,48.31
2025-07-01 12:21:00,225,4.4,48.61
2025-07-01 12:22:00,240,6.41,48.65
2025-07-01 12:23:00,246,6.29,51.44
2025-07-01 12:24:00,202,5.89,51.26
2025-07-01 12:25:00,211,3.94,48.79
2025-07-01 12:26:00,219,3.43,49.48
2025-07-01 12:27:00,255,5.14,51.72
2025-07-01 12:28:00,224,3.86,51.0
2025-07-01 12:29:00,211,6.14,48.76
